"gene","log2FC_LP","padj_LP","padj_manual_LP","log2FC_ML","padj_ML","padj_manual_ML"
"17183",-4.96994866873898,1.99394600616915e-78,1.99394600616915e-78,-5.17996774688741,2.28398559269855e-86,2.28398559269855e-86
"18830",-5.19213027958363,4.75421129335384e-78,4.75421129335384e-78,-5.53433957066893,1.42148458105652e-88,1.42148458105652e-88
"74563",6.41672212143791,5.0510131370204e-78,5.0510131370204e-78,4.15026184822097,1.9507074323869e-33,1.9507074323869e-33
"73608",3.86996333639498,5.53466697797741e-78,5.53466697797741e-78,3.70953643522871,5.65887505592759e-72,5.65887505592759e-72
"17389",5.744732788176,6.63497494488667e-78,6.63497494488667e-78,3.68589800197023,1.02487748787722e-32,1.02487748787722e-32
"110935",6.5277815480553,1.15289434066674e-77,1.15289434066674e-77,4.20555959359373,2.83017326152129e-33,2.83017326152129e-33
"93960",-6.75977429249621,1.34608298281714e-77,1.34608298281714e-77,-7.04002266380642,5.0815063108639e-85,5.0815063108639e-85
"237175",-3.05979527887624,1.72709347623256e-77,1.72709347623256e-77,-4.46081336467989,9.86496807595865e-142,9.86496807595865e-142
"21682",2.88796492606681,1.94324438191266e-77,1.94324438191266e-77,2.54078851992761,2.39385492074832e-60,2.39385492074832e-60
"101351",-3.14895543297273,5.23592196336962e-77,5.23592196336962e-77,-3.14971480932492,6.54989002284534e-78,6.54989002284534e-78
"319530",5.25711272515144,9.0376000815911e-77,9.0376000815911e-77,4.30656830327336,5.07729188893405e-52,5.07729188893405e-52
"171531",4.93213241041137,1.0356718682327e-76,1.0356718682327e-76,6.2344192480123,6.68199206063173e-122,6.68199206063173e-122
"54366",-3.83313402278632,2.18527582711216e-76,2.18527582711216e-76,-3.84292497301895,1.13100161106846e-77,1.13100161106846e-77
"50500",5.10660653012399,3.37926073285715e-76,3.37926073285715e-76,2.81168485723437,6.34949712022183e-24,6.34949712022183e-24
"56693",-2.99806902690681,3.96993113919203e-76,3.96993113919203e-76,-2.92339897854519,1.45665635834698e-74,1.45665635834698e-74
"330812",-5.20869617026482,4.37884886450681e-76,4.37884886450681e-76,-5.236176065399,5.62969669041327e-79,5.62969669041327e-79
"233335",-4.93514838441705,4.72429865471418e-76,4.72429865471418e-76,-4.42764042180522,1.07199761316034e-63,1.07199761316034e-63
