"gene","log2FoldChange","lfcSE","pvalue","padj","padj_manual"
"237256",-0.194728945197226,0.489616120911777,0.650952598629967,0.722406609959944,0.722406609959944
"229613",-0.0698050598516163,0.156658827446328,0.651131316376277,0.722507931778201,0.722507931778201
"665964",0.201172197413706,0.508780879723494,0.651110183329962,0.722507931778201,0.722507931778201
"100861753",0.086207505299745,0.195888412208533,0.651743025109001,0.723138153111276,0.723138153111276
"22652",0.155691368319873,0.368364727449225,0.652218027398497,0.723616618088271,0.723616618088271
"66212",-0.0849220929191413,0.195761111593788,0.652701971001148,0.724056343913091,0.724056343913091
"52055",0.116427974954634,0.263668475509444,0.652679476259262,0.724056343913091,0.724056343913091
"17874",-0.0817976414339714,0.188524973129615,0.653121841312046,0.724473495966187,0.724473495966187
"94213",-0.0877484954046417,0.199944500537036,0.653416402610246,0.724751602707331,0.724751602707331
"51813",0.0867714629357177,0.186841213198156,0.653506629049376,0.724803044698483,0.724803044698483
"67959",-0.0666160545192779,0.14978788062139,0.653675007708469,0.724941152460315,0.724941152460315
"100502863",-0.142779784070684,0.338752059443872,0.653800019093607,0.724968307195345,0.724968307195345
"208890",0.225282579159248,0.659158193871391,0.653831066162626,0.724968307195345,0.724968307195345
"73212",-0.107315471829043,0.245355235065545,0.653774362144325,0.724968307195345,0.724968307195345
"100217433",0.224645281643849,0.640419013228451,0.65401099910755,0.725119177359165,0.725119177359165
"381990",0.0844522644900346,0.190681025361133,0.654308153449083,0.725382125279632,0.725382125279632
"68499",-0.0912789896509187,0.211424623497646,0.654335926802456,0.725382125279632,0.725382125279632
"77974",0.169494252299811,0.41017077020866,0.654506123283594,0.725478823864778,0.725478823864778
"73316",0.136592913199521,0.320526744374353,0.654510931657316,0.725478823864778,0.725478823864778
"54201",-0.129806918010423,0.30723088903487,0.654590254059647,0.725518097063562,0.725518097063562
"233812",-0.113381635808896,0.269383929289739,0.654898669389664,0.725811264164341,0.725811264164341
"100044526",0.152948511153771,0.366726366663132,0.655403055148514,0.726321567551954,0.726321567551954
"72106",-0.0732619616706766,0.167432220173589,0.656082505880979,0.727015026815813,0.727015026815813
"228850",-0.0659453867454103,0.151281732706269,0.656116767697417,0.727015026815813,0.727015026815813
"27277",-0.0688904555583549,0.163964298654172,0.656560783181901,0.727360749681443,0.727360749681443
"72739",0.0662950210089595,0.151092639802119,0.65653530586818,0.727360749681443,0.727360749681443
"234663",-0.0429068412404051,0.111474737247077,0.656524388383189,0.727360749681443,0.727360749681443
"66335",0.0684982627782044,0.151195000259481,0.656796167170909,0.727523999419361,0.727523999419361
"27103",0.0718538074075775,0.162067096965113,0.656790609412806,0.727523999419361,0.727523999419361
"723896",0.206555238674331,0.551904110350534,0.65686472975714,0.727551191562954,0.727551191562954
"74203",-0.0753738820988463,0.17316978802311,0.656969370016402,0.727587413239071,0.727587413239071
"71233",0.146683448736577,0.35094542374183,0.657029480787635,0.727587413239071,0.727587413239071
"64383",-0.0538741427333218,0.122861808717814,0.65700378840923,0.727587413239071,0.727587413239071
"225160",0.109582828154131,0.249507296485636,0.657683381954899,0.728262748105203,0.728262748105203
"240613",-0.0828846562553071,0.193413413253227,0.657771977061326,0.728312062484005,0.728312062484005
"56188",-0.163408590831934,0.404169952077183,0.658022264334862,0.728540390452463,0.728540390452463
"77733",0.0811852828164702,0.180359710062091,0.658437246156338,0.728951019956083,0.728951019956083
"72014",0.217674123932309,0.601203112397245,0.658687050957266,0.729129910421456,0.729129910421456
"75302",0.0931546191430342,0.21446661117823,0.658680620736515,0.729129910421456,0.729129910421456
"319149",0.214634537984007,0.617525874055174,0.659109442552811,0.729440057222986,0.729440057222986
"74528",-0.0940068575176644,0.219323062780953,0.659143746808212,0.729440057222986,0.729440057222986
"11737",-0.0734242557450716,0.16958925345799,0.659134413478103,0.729440057222986,0.729440057222986
"100503771",0.21805595099816,0.60638338748106,0.659017872700578,0.729440057222986,0.729440057222986
"545423",0.222539391300947,0.646240921310053,0.659354153444704,0.72962405652972,0.72962405652972
"665562",0.195595403356449,0.508593878833181,0.659449020103127,0.729631345535789,0.729631345535789
"234463",0.0749923495743219,0.172564220699289,0.659447503170638,0.729631345535789,0.729631345535789
"100504031",0.187545641263151,0.478412536868816,0.65958916627851,0.729737562317366,0.729737562317366
"15043",0.21138185798978,0.587959715113267,0.659895926072729,0.73002808579723,0.73002808579723
"432798",0.203687572574969,0.543822893168453,0.660277720259672,0.730401573706242,0.730401573706242
"328092",0.12012351751697,0.284373852835189,0.661144198975504,0.731311135510244,0.731311135510244
"71745",0.105162901101301,0.245726627203462,0.661479209225119,0.731632741953243,0.731632741953243
"20084",0.113368489861617,0.266934808551303,0.661773339027141,0.731909092340335,0.731909092340335
"84682",0.150445021367536,0.363132944445669,0.662753915183808,0.732895518998417,0.732895518998417
"28010",0.0957788717589829,0.224011974825364,0.662751412082782,0.732895518998417,0.732895518998417
"231123",-0.0993999764179242,0.235117481271877,0.663324018102452,0.733476889372769,0.733476889372769
"100045778",0.168771335531935,0.424737832417271,0.663405132424532,0.733517514312877,0.733517514312877
"381538",-0.183027104960472,0.48127602199051,0.663577946064972,0.733659517654604,0.733659517654604
"104625",0.0799825204975362,0.184149948887651,0.663661324252983,0.733702627735541,0.733702627735541
"75616",0.103710301493347,0.243982660975726,0.663706224262318,0.733703195817302,0.733703195817302
"240505",0.0776504642874315,0.180212080231925,0.664057619152671,0.734042560157393,0.734042560157393
"317750",-0.170631548757463,0.436269515857577,0.664261139837291,0.734169339496551,0.734169339496551
"384281",0.0709389143582341,0.164126487205564,0.664234260751785,0.734169339496551,0.734169339496551
"233168",-0.119068016904888,0.286993188549703,0.664466194060321,0.734346873558675,0.734346873558675
"78826",-0.210278959065825,0.82922687323871,0.664771821766745,0.734635527062729,0.734635527062729
"70683",-0.0511219872464902,0.145008350240277,0.665025354489004,0.734866575954491,0.734866575954491
"12974",-0.0638648844953451,0.150330158968704,0.665373450928197,0.735114992021242,0.735114992021242
"13356",0.0549956947760797,0.127932417367095,0.665359086390033,0.735114992021242,0.735114992021242
"56846",-0.161650127222811,0.409814838763667,0.665383575960183,0.735114992021242,0.735114992021242
"227613",0.121368892196539,0.290285013518293,0.665796663413368,0.735473058421744,0.735473058421744
"66256",0.0788495824556607,0.184444854774472,0.66578914048424,0.735473058421744,0.735473058421744
"216150",-0.0995803649907321,0.233198636058892,0.666623322906746,0.736337021560208,0.736337021560208
"15370",-0.165275740221441,0.431540776650448,0.666694515347374,0.736366453206741,0.736366453206741
"27209",0.187308313790507,0.494627647076047,0.667304453902937,0.736990888154977,0.736990888154977
"68839",-0.0937152776274784,0.225216215376459,0.667440168216391,0.737074190139363,0.737074190139363
"72351",0.0845791342165552,0.200117343178603,0.667469059419003,0.737074190139363,0.737074190139363
"22591",0.125650672976116,0.285083438952175,0.667702144400708,0.737282327785151,0.737282327785151
"104318",-0.0858745524957064,0.201797899599097,0.667833831695223,0.73737848092459,0.73737848092459
"66736",-0.0725335515972035,0.174199862621093,0.668265105962704,0.737805383486741,0.737805383486741
"100515",-0.114404290427294,0.278665921745978,0.668474953617455,0.737987776884828,0.737987776884828
"68995",0.069969785785339,0.163084543806664,0.669006518678005,0.738525294092923,0.738525294092923
"67145",-0.064446070725552,0.153302286486526,0.669257558705924,0.73875308483532,0.73875308483532
"244198",0.215756322739966,0.635565265547243,0.669330776094733,0.738784570569307,0.738784570569307
"211378",-0.154418003159886,0.398322363812164,0.670123878004123,0.739561203325421,0.739561203325421
"223255",0.0606551840340565,0.139848246931842,0.670113255243818,0.739561203325421,0.739561203325421
"68097",0.112405212006606,0.271185337517851,0.670194689592982,0.739589973894919,0.739589973894919
"546611",0.222442105951324,0.706602641548949,0.670271525267921,0.739625388029288,0.739625388029288
"100504211",-0.174975538132604,0.466823156607718,0.670445549575911,0.739661953542195,0.739661953542195
"100038538",-0.173575178355728,0.456466022417618,0.670482474014205,0.739661953542195,0.739661953542195
"74255",0.0521258015342027,0.121700191024212,0.670359814708589,0.739661953542195,0.739661953542195
"382083",-0.172982963064468,0.459549427368068,0.670483648631352,0.739661953542195,0.739661953542195
"215627",0.127515660898823,0.315808043677108,0.670597400065426,0.739738072945045,0.739738072945045
"56176",-0.0749527033841425,0.180155679549506,0.670871013862178,0.739990515090204,0.739990515090204
