"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"54648",3890.26045752745,2.77220554367346,0.139746139613543,1.85076601232569e-88,2.23307753166012e-86
"17183",893.129968210364,-5.17996774688741,0.259653699332406,1.90677563092801e-88,2.28398559269855e-86
"66805",2598.19349431118,6.95075673592108,0.351386888362402,2.41611433541576e-88,2.87326402621745e-86
"30955",861.642058712529,6.67486461421116,0.337992343488099,4.59481241722917e-88,5.42516066119987e-86
"13866",4283.47614120579,2.40316110311875,0.121522858084345,7.85791121064374e-88,9.21214697247809e-86
"233066",1940.39741734726,3.72435995398866,0.188660754151885,8.12404286928472e-88,9.45707243868144e-86
"66451",411.562181189588,4.41694070970785,0.223916201548794,1.24717915925188e-87,1.44166933583452e-85
"18483",840.397104076421,-4.44360582018448,0.225130776343452,1.5583533115311e-87,1.78885973886174e-85
"23888",2431.9407299351,-5.60950419011049,0.284455670269008,1.85650526281879e-87,2.11641599961342e-85
"80794",1366.86906259218,2.48630761866425,0.126155127719016,3.5519120780728e-87,4.02144566099612e-85
"93960",1206.77235163875,-7.04002266380642,0.359977430419063,4.51894390621291e-87,5.0815063108639e-85
"100861595",779.700207511164,-5.43798311186174,0.275379158006571,5.01458444316173e-87,5.60074870577456e-85
"15552",689.185775439704,-4.59831744708096,0.23460099499315,5.13320627611917e-87,5.69475837209731e-85
"12739",9138.91521496804,5.0123114278386,0.255208473533582,5.24830195912831e-87,5.7836287589594e-85
"22240",2608.69284177628,-6.43540828189234,0.328980881152717,1.73748101558052e-86,1.90202391970503e-84
"208076",493.132979441837,-4.42022706689537,0.22597722820336,2.26193107491375e-86,2.4598500439687e-84
"67729",1756.79031444145,3.8834784377164,0.198635470460738,3.26283149206142e-86,3.52513755318793e-84
"20970",3354.84454051634,-4.93067326940522,0.251938975636169,3.84131365232229e-86,4.12317627746022e-84
"229722",1163.32631869325,4.99800160713647,0.255905277528956,5.47958766607125e-86,5.84371510452631e-84
"102502",549.118662780802,6.5728835412678,0.336600894856481,6.78363432345224e-86,7.18804329273497e-84
"94179",1357.05752075457,-5.36717445687634,0.275596492720458,9.32728312000604e-86,9.82038152698725e-84
"72930",335.98488648631,-6.26649794777011,0.318114518478276,1.11262514544734e-85,1.15671029271978e-83
"73173",1661.6640625143,-5.25745183967675,0.269202085526985,1.11226610430082e-85,1.15671029271978e-83
"74257",745.947142894665,3.60781054565889,0.18523680260081,2.26684546369987e-85,2.34193471968493e-83
"106512",762.533582609669,4.69536213767408,0.241709263923491,3.35747073777273e-85,3.44714231648343e-83
"26362",5772.88074218024,-4.90354060361553,0.253419402160012,1.18382241672937e-84,1.20793731781089e-82
"70178",2909.48913257865,3.90296948490462,0.201478765517526,1.22248093041499e-84,1.23973066133495e-82
"14119",2823.62829293702,-5.8764523800475,0.303420699263261,2.51744113641131e-84,2.53739646249262e-82
"20927",2248.43099302229,7.00874256353414,0.363567694480965,5.0500043333317e-84,5.0591861593923e-82
"13497",794.513850655034,-6.53166713703077,0.338908683092842,7.8975516290817e-84,7.86424870052533e-82
"215821",429.232596545427,5.5607271549493,0.288894838414663,2.02723304277541e-83,2.00659653874716e-81
"110135",7159.51665198554,7.8746582197105,0.412353887588041,1.64271353091108e-82,1.61631277773573e-80
"72333",5625.50121499846,-4.74004137559475,0.247887236620291,1.68861267107183e-82,1.6516430445454e-80
"207777",395.538218534191,-5.85075761373689,0.305155274259492,2.3353200128793e-82,2.27075528311146e-80
"14221",461.06728301258,-4.42704959688041,0.232923060615805,2.41861288280179e-82,2.33799245337507e-80
"22420",817.566506415502,-7.28396550928899,0.383186492580263,3.72020194622652e-82,3.57528710297234e-80
"26559",1715.68156356665,-7.27937166321023,0.383925758088806,4.464825178626e-82,4.26610174582011e-80
"15930",1774.83048248199,8.03372476360984,0.422018353084417,7.70335104355697e-82,7.31818349137912e-80
"233271",355.565437052763,-6.15336779341769,0.322687623702548,9.89722110546434e-82,9.34863227847575e-80
"109594",1241.57037958108,-7.37849696198364,0.387391282529529,1.05674817694119e-81,9.92502691183966e-80
"14073",514.821046536992,5.19430373968383,0.273517733939668,1.45194507909767e-81,1.35596904844545e-79
"54419",809.861130808648,6.17861798953431,0.325718315808979,1.74606173040899e-81,1.62148316874497e-79
"76408",2595.19976674004,4.22454192539832,0.222491412767922,1.77490518693768e-81,1.63906048827262e-79
"330812",1176.53131898786,-5.236176065399,0.276102631594367,6.13034122368052e-81,5.62969669041327e-79
"20348",4701.26567231288,-4.44532268911227,0.234103478145903,6.64915427281198e-81,6.07240442704873e-79
"26381",637.021060405159,4.61330228634843,0.243997288496668,7.33360636716346e-81,6.6606875411655e-79
"27410",5953.6550906885,3.29490303948866,0.174209901418047,8.55596851343237e-81,7.72842401787088e-79
"68813",3451.83012706058,3.46376438749964,0.182933627079576,1.02807356291322e-80,9.23589999725847e-79
"109731",835.980421159358,-4.09096864658686,0.216640591044861,1.11277141383976e-80,9.94276295717363e-79
"13003",17357.6246103867,-7.57258313142864,0.401988194253215,2.44562141489498e-80,2.17344741872118e-78
"69550",1184.26690898151,3.45534437268686,0.183190899329039,2.6920273118576e-80,2.37963697673829e-78
"53868",2960.66073971274,3.67441607602994,0.194925901778141,2.78038849908252e-80,2.44467137711883e-78
"223838",500.790745268731,-8.26047296448173,0.43514030409015,7.15553339087398e-80,6.2582522196374e-78
"16425",3001.77764380015,6.22660448093703,0.331522171371337,7.27634232990033e-80,6.33041782701329e-78
"101351",2659.32832210914,-3.14971480932492,0.167543613243523,7.56823348072268e-80,6.54989002284534e-78
"226519",23688.2894572832,-2.61860202507228,0.138928185570111,8.28434666936242e-80,7.13230471065421e-78
"29877",715.303056888805,-5.92643464856961,0.318240188087571,9.43791634533629e-80,8.08335529473621e-78
"74562",1564.63041344003,7.20294199092604,0.384359589668238,1.17648099637581e-79,1.00243458093258e-77
"54366",2422.67939085702,-3.84292497301895,0.204875134076729,1.33421242685027e-79,1.13100161106846e-77
"101437",2029.44794755213,3.24488505520264,0.172946261788431,1.78355900196226e-79,1.50419542359368e-77
"19229",1942.07385030319,4.21809153233267,0.225246552014309,2.45864156463572e-79,2.06301243976794e-77
"107350",2644.71338910012,6.71405815168095,0.36066520740129,1.2928885639324e-78,1.0793660586769e-76
"66972",3081.70336907212,2.86773335261905,0.153770567940465,1.67030546873696e-78,1.38744469337799e-76
"217310",3679.43263747704,4.41109419225107,0.237252937078218,2.86812372776491e-78,2.3705042609977e-76
"50762",1353.76699987831,3.77334161295586,0.202933973425835,3.13911710995587e-78,2.58157242923237e-76
"12816",3814.50930005044,-5.1619018672081,0.277740317199997,4.70769350171469e-78,3.8523848308586e-76
"17153",262.97192962434,4.41723111430373,0.237682337286792,5.74929988389905e-78,4.68157276260351e-76
"18719",421.338970708935,4.49280562098622,0.241853919157805,6.02575255639236e-78,4.88263185084146e-76
"100503884",377.747977886567,3.81729159261184,0.205444671391048,6.48078404171197e-78,5.22572488826824e-76
"67182",424.833803825946,4.87794534491614,0.262339985201577,7.31314924966806e-78,5.86826976199092e-76
"12124",772.647764152186,5.51850461567491,0.298395659376306,1.85042460148606e-77,1.47765790640408e-75
"18516",348.511181092467,-3.59809772472128,0.194143146926901,2.43461683644296e-77,1.93481809165395e-75
"20354",2306.20207165151,2.94245037163032,0.159169673246867,3.38336292553475e-77,2.67593249565021e-75
"104718",765.352451371172,-4.94521160852584,0.267895058671314,4.22894595237164e-77,3.32878459965253e-75
"12822",9585.8670696138,-5.92799215377711,0.321897042045528,5.00031522926392e-77,3.91730856586411e-75
"12406",11272.2318351714,-3.71979865945401,0.20143673640287,9.59959308044301e-77,7.48496573677938e-75
"18164",1367.50668826705,-5.77352995144049,0.313562885492374,1.09580547856167e-76,8.50406786883774e-75
"18441",359.163522369812,-6.19106533435201,0.339066759306773,1.34950978009087e-76,1.04240171331318e-74
"230775",383.408848201946,-6.38374831666093,0.346091599649072,1.75535570925342e-76,1.3495827848353e-74
"56693",1104.68443875694,-2.92339897854519,0.158868653016641,1.90343480582546e-76,1.45665635834698e-74
"21385",527.532716506139,-5.05905024386051,0.278200349954019,2.81720892448242e-76,2.14601214385688e-74
"20856",16754.4619707653,6.85155217138782,0.373701915079176,2.85673446811967e-76,2.16613856688156e-74
"71306",545.488848567182,-3.94054919059883,0.215095610173037,5.01938305233473e-76,3.78860282443347e-74
"232983",971.187894263241,7.45027846054371,0.407881770841313,7.65007428544663e-76,5.74798763356513e-74
"18191",1077.06271673578,7.23511805512788,0.396042827479081,9.4564854623775e-76,7.05483341505198e-74
"233651",1277.40553830753,-6.10391235903206,0.333894479138279,9.47473090224768e-76,7.05483341505198e-74
"11847",1675.75977282536,4.07862888623626,0.223261756523622,1.19921303545601e-75,8.88923384577928e-74
"14086",1650.41032042387,-4.36046341295123,0.239053321293412,1.54204982775245e-75,1.13795016306911e-73
"16774",17950.2132378682,-4.29194637575918,0.234114349917706,1.71835146208258e-75,1.26241554081e-73
"242022",2338.50743493186,-4.71424922774956,0.257834283248573,1.94681648637483e-75,1.42393258937061e-73
"207818",1126.94516746279,3.97393556129487,0.218128444618441,2.94893774877958e-75,2.14739828138002e-73
"68810",700.206008809845,-6.07901084763816,0.338188224942648,3.97579473591505e-75,2.88245118353841e-73
"71960",11738.2440050546,3.36914522650294,0.185484646139194,5.7000383255774e-75,4.11448181317879e-73
"18383",458.274250874379,-6.3098281837135,0.348861417721704,9.91699610751085e-75,7.12730198509366e-73
"252837",444.406441284491,-6.62111585281222,0.36773577318681,1.04750552263205e-74,7.49578627234103e-73
"73181",297.185321314524,-3.71689151946472,0.204438860881832,1.3632375882841e-74,9.71306781652419e-73
"245827",2923.61462153545,-4.78052852841094,0.264674337182933,2.07096754686094e-74,1.46923148281594e-72
"11931",4568.16159385193,4.05651405055322,0.22430132192035,3.60169254806729e-74,2.54427255639112e-72
"73608",1351.98425618067,3.70953643522871,0.205573776811774,8.0449826868904e-74,5.65887505592759e-72
"16891",2056.75435168362,-4.65456119614491,0.259492013433554,3.33991162308955e-73,2.33935335295213e-71
"22422",2367.74851620711,4.32846434341998,0.241043517029181,3.42016342688463e-73,2.38545575723219e-71
"58250",2099.02256016117,-6.3675576581575,0.35570634904984,3.44124831958127e-73,2.39007708918817e-71
"212980",3466.51181502061,3.69380840554109,0.205693820115394,3.90111754175944e-73,2.69813694415413e-71
"19259",708.443649461444,6.75390538294264,0.376417443908709,4.06468967620074e-73,2.79955501448326e-71
"11891",1233.33384736391,-4.09412254647421,0.22781510644432,4.78147205741355e-73,3.27957398792722e-71
"22021",898.964608497447,-4.71262474787916,0.262488542213187,5.82591268793559e-73,3.97943540213121e-71
"22004",17747.7267260717,-7.08751289446494,0.39608730455831,5.92213902254276e-73,4.02851679187785e-71
"216363",2696.93703739194,2.24032161453688,0.124842290735659,1.17297195583482e-72,7.94640427456952e-71
"72685",552.006928143119,4.46397319396814,0.249436379305713,1.73840217226942e-72,1.17288930235157e-70
"13661",7018.49965750601,4.46737171975081,0.250350077811862,2.62643368357207e-72,1.76483531664416e-70
"224022",745.509784250694,3.71449435941551,0.208879073453057,2.72250300690591e-72,1.82198278154472e-70
"99887",18646.3593247009,6.58700290792352,0.369495943226128,2.86426414430818e-72,1.90912444779896e-70
"14027",1792.84982556304,3.92457629644552,0.220081423801299,3.29395540774104e-72,2.18671015622327e-70
"14360",625.48757328924,-3.23378184090832,0.180865135356525,3.53556571325082e-72,2.33771604960144e-70
"171388",771.0993621766,2.78060132962826,0.155911698729086,4.72773196462578e-72,3.1135222858671e-70
"11816",44849.0208216002,-4.69779568516732,0.263872156295325,4.7746079285121e-72,3.13191543882163e-70
"67017",4856.31719004939,2.3676458353616,0.132575473532374,4.90963740511179e-72,3.20775914254932e-70
